BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Belgian_shepherd_dog_sheepdog,Groenendael,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300,15,6,,,,120
Belgian_shepherd_laekenois,,Herding,Herding,28,"Active, Alert, Energetic, Lively, Protective, Watchful",650,,5,,,,
Belgian_malinois,Malinois,Herding,Herding,27,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful",700,,6,,,,44
Belgian_shepherd_tervuren,,Herding,Herding,34,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1350,14,6,,,,103
Bernese_mountain_dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",900,22,5,,,,25
Bichon_frise,,Non Sporting,Companion,4,"Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive",850,45,3,,,,46
Black_and_tan_coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,44,3,,,,130
Black_labrador_retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Black_mouth_cur,,Hound,Scenthound,32,"Active, Fearless, Kind, Loyal, Protective, Trainable",400,,3,,,,
Black_russian_terrier,,Working,Guardian,51,"Brave, Confident, Energetic, Hardy, Lively, Stable",2150,,6,,,,116
Bloodhound,,Hound,Scenthound,46,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1000,74,1,,,,50
Blue_lacy,,Sporting,Gun,18,"Active, Alert, Bold, Devoted, Intelligent, Intense",700,,4,,,,
Bluetick_coonhound,Bluetick,Hound,Scenthound,28,"Friendly, Active, Gentle",550,,1,,,,132
Boerboel,,Working,Guardian,80,"Confident, Dominant, Intelligent, Obedient, Territorial",1750,,6,,,,124
Bolognese,,Working,Companion,3,"Docile, Enterprising, Loyal, Reserved, Serious",1350,,2,,,,
Border_collie,,Herding,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",700,1,6,,,,38
Border_terrier,,Terrier,Terrier,7,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1300,30,4,,,,92
Borzoi,,Hound,Sight,41,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1100,75,1,,,,102
Boston_terrier,Boston Bull,Non Sporting,Companion,9,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",750,54,3,,,,21
Bouvier_des_flanders,,Herding,Herding,42,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1750,29,5,,,,85
Boxer,,Working,Guardian,30,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",900,49,5,,,,11
Boykin_spaniel,,Sporting,Gun,15,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",900,,3,,,,98
Briard,,Herding,Gun,35,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1100,30,6,,,,127
Brittany,,Sporting,Gun,17,"Alert, Independent, Intelligent, Responsive, Social",750,19,3,,,,26
Brussels_griffon,Brabancon Griffon,Toy,Companion,4,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",900,,3,,,,94
Bull_terrier,American Pit Bull Terrier,Terrier,Terrier,28,"Active, Keen, Protective, Sweet-tempered, Trainable",1350,66,6,,,,60
Bullmastiff,Bull Mastiff,Working,Guardian,55,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1350,69,6,1,,,51
Cairn_terrier,Cairn,Terrier,Terrier,7,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850,35,4,,,,69
Canaan_dog,,Herding,Sight,21,"Alert, Cautious, Devoted, Quick, Vigilant",1000,,3,,,,175
Cane_corso_mastiff,,Working,Guardian,47,"Cheerful, Courageous, Loyal, Quiet, Social",1750,,6,,,,37
Carolina_dog,,,Sight,18,"Adaptable, Gentle, Loyal, Primitive, Reserved",900,,3,,,,
Catahoula_leopard_dog,,Herding,Herding,27,"Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective",400,,6,,,,
Australian_cattle_dog,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Caucasian_sheepdog,,Working,Guardian,63,"Alert, Calm, Dominant, Powerful, Quick,Strong",1750,,6,,,,
Cavalier_king_charles_spaniel,,Toy,Companion,7,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",1350,44,2,,,,19
Chesapeake_bay_retriever,,Sporting,Gun,33,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",800,27,3,,,,43
Chihuahua,,Toy,Companion,2,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",700,67,2,,,,32
Chinese_crested,,Toy,Companion,4,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",900,61,2,,,,79
Chinese_foo_dog,,Working,Northern,25,"Friendly, Devoted, Courageous",2000,,5,,,,
Chinook,,Working,Northern,32,"Alert, Calm, Dignified, Friendly, Responsive",900,,4,,,,179
Chocolate_labrador_retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Chow_chow,Chow,Non Sporting,Northern,26,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700,76,3,,,,76
Cirneco_dell'etna,,Hound,Sight,11,"Affectionate, Gentle, Lively",900,,3,,,,184
Clumber_spaniel,Clumber,Sporting,Gun,32,"Gentle, Loyal, Affectionate, Dignified, Aloof",1000,37,3,,,,140
Cockapoo,,Sporting,Gun,8,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1000,,3,,,,
Cocker_spaniel,,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700,20,3,,,,29
Collie,,Herding,Herding,31,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",500,16,5,,,,40
Coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,44,3,,,,130
Corgi,,Herding,Herding,13,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,26,4,,,,68
Coton_de_tulear,,Non Sporting,Companion,6,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",2700,,3,,,,81
Curly-coated_retriever,,Sporting,Gun,34,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",700,41,3,,,,171
Dachshund,,Hound,Scenthound,7,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",600,49,3,,,,13
Dalmatian,,Non Sporting,Companion,25,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",800,39,3,,,,63
Dandi_dinmont_terrier,Dandie Dinmont,Terrier,Terrier,10,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1500,62,3,,,,182
Dhole,,,,18,Wild,,,,,,,
Dingo,,,,16,Wild,,,,,,,
Doberman_pinscher,Doberman,Working,Guardian,43,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",900,5,6,1,,,16
Dogo_argentino,,Working,Guardian,43,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",39000,,5,,1,,
Dogue_de_bordeaux,,Working,Guardian,60,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1150,,6,,,,67
Dutch_shepherd,,Herding,Herding,28,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",1100,,5,,,,
Bulldog,,Non Sporting,Companion,25,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1600,77,3,,,,5
English_cocker_spaniel,,Sporting,Gun,14,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",1050,18,4,,,,52
English_coonhound,,Hound,Scenthound,26,"Active, Energetic, High-strung, Loyal",1100,,4,,,,178
English_pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,43,4,,,,113
English_setter,,Sporting,Gun,30,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500,37,3,,,,95
English_shepherd,,Herding,Herding,25,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",900,,4,,,,
English_springer_spaniel,,Sporting,Gun,23,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",750,13,3,,,,27
English_toy_spaniel,Blenheim Spaniel,Toy,Companion,5,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",1400,,3,,,,134
Entlebucher_mountain_dog,,Herding,Guardian,27,"Agile, Devoted, Independent, Loyal, Self-confident",850,,6,,,,152
Eskimo_dog,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
Feist,,Terrier,Terrier,15,"Agile, Alert, Lovable, Spirited, Swift",350,,4,,,,
Field_spaniel,,Sporting,Gun,19,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",900,34,3,,,,145
Fila_brasileiro,,Working,Guardian,46,"Brave, Courageous, Determined, Docile, Loyal, Obedient",1150,,5,,1,,
Finnish_lapphund,,Herding,Northern,18,"Calm, Courageous, Faithful, Friendly, Keen",700,,5,,,,173
Finnish_spitz,,Non Sporting,Northern,15,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",600,43,3,,,,177
Flat-coated_retriever,,Sporting,Gun,30,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",1100,18,5,,,,96
Fox_terrier,,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850,40,3,,,,122
Foxhound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,46,2,,,,187
French_bulldog,,Non Sporting,Companion,12,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",3000,58,3,,,,4
Galgo_spanish_greyhound,,Hound,Sight,25,"Affectionate, Calm, Quiet, Gentle",700,,3,,,,
German_pinscher,,Working,Terrier,14,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",1500,,6,1,,,136
German_shepherd_dog,German Shepherd,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,3,6,1,,8,2
German_shorthaired_pointer,German Short Haired Pointer,Working,Gun,29,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",700,17,3,,,,10
German_spitz,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
German_wirehaired_pointer,,Sporting,Gun,30,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",800,44,6,,,,62
Giant_schnauzer,,Working,Companion,38,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1250,28,6,,,,80
Glen_of_imaal_terrier,,Terrier,Terrier,16,"Active, Agile, Courageous, Gentle, Loyal, Spirited",900,,3,,,,158
Golden_retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,4,3,,,6,3
Gordon_setter,,Sporting,Gun,31,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",900,34,4,,,,104
Great_dane,,Working,Guardian,77,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",1000,48,5,,,,14
Great_pyrenees,,Working,Guardian,45,"Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed",800,64,6,,,,66
Greater_swiss_mountain_dog,,Working,Guardian,60,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",2250,,5,,,,75
Greyhound,,Hound,Sight,33,"Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet",650,46,3,,,,156
Harrier,,Hound,Scenthound,22,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",350,,2,,,,183
Havanese,,Toy,Companion,5,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",1050,,3,,,,23
Hound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,46,2,,,,187
Hovawart,,Working,Guardian,38,"Watchful, Even-tempered, Reserved, Active, Devoted",1100,,6,,,,
Husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",950,45,1,,,,12
Ibizan_hound,,Hound,Sight,22,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",1000,53,3,,,,165
Icelandic_sheepdog,,Herding,Herding,14,"Friendly, Playful, Inquisitive",,70,,,,,155
Illyrian_sheepdog,,Herding,Herding,40,"Independent, Reliable, Devoted, Protective",1500,,6,,,,
Irish_red_and_white_setter,,Sporting,Gun,23,"Courageous, Spirited, Determined",600,,,,,,
Irish_setter,,Sporting,Gun,32,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",900,35,3,,,,72
Irish_terrier,,Terrier,Terrier,12,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",700,53,5,,,,114
Irish_water_spaniel,,Sporting,Gun,25,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",900,24,4,,,,164
Irish_wolfhound,,Hound,Scenthound,55,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",1900,41,3,,,,73
Italian_greyhound,,Toy,Companion,4,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",900,60,3,,,,74
Italian_spinone,,Sporting,Gun,33,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",1750,,3,,,,111
Jack_russell_terrier,,Terrier,Terrier,7,"Alert, Cheerful, Courageous, Energetic, Independent",850,,4,,,,78
Parson_russell_terrier,,Terrier,Terrier,7,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",500,,3,,,,119
Japanese_chin,Japanese Spaniel,Toy,Companion,5,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",400,62,3,,,,108
Jindo,,Sporting,Northern,20,"Active, Bold, Brave, Faithful, Intelligent, Loyal",350,,4,,,,
Kai_dog,,Non Sporting,Northern,18,"Intelligent, Agile, Alert, Brave",3000,,5,,,,
Karelian_bear_dog,,Sporting,Northern,22,"Brave, Cautious, Loyal, Independent, Tenacious, Territorial",1100,,4,,,,
Keeshond,,Non Sporting,Northern,18,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",900,16,4,,,,87
Kerry_blue_terrier,,Terrier,Terrier,17,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",550,35,5,,,,129
Kishu,,Sporting,Northern,20,"Alert, Dignified, Docile, Faithful, Noble",400,,4,,,,
Klee_kai,,Non Sporting,Northern,7,"Active, Agile, Curious, Intelligent, Loyal, Quick, Territorial",1250,,5,,,,
Komondor,,Working,Guardian,59,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",1000,,6,,,,163
Kuvasz,,Working,Guardian,49,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",1350,42,6,,,,157
Kyi_leo,,Non Sporting,Companion,5,"Active, Calm, Forgiving, Obedient, Playful, Quiet",700,,3,,,,
Labrador_retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Lakeland_terrier,,Terrier,Terrier,8,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",1500,62,3,,,,138
Lancashire_heeler,,Herding,Herding,5,"Alert, Clever, Friendly, Intelligent",700,,3,,,,
Leonberger,,Working,Guardian,64,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",1750,,5,,,,100
Lhasa_apso,,Non Sporting,Companion,6,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",600,68,3,,,,77
Lowchen,,Non Sporting,Companion,6,"Active, Familial, Friendly, Happy, Playful",400,,3,,,,169
Maltese,Maltese Dog,Toy,Companion,4,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",700,59,3,,,,33
Manchester_terrier,,Terrier,Terrier,6,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",800,32,3,,,,135
Maremma_sheepdog,,Working,Guardian,38,"Alert, Determined, Dignified, Friendly, Intelligent, Loyal",700,,4,,,,
Mastiff,,Working,Guardian,90,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",1350,72,6,,,,28
Mcnab,,Herding,Herding,23,"Friendly, Hard-working, Obedient, Protective, Sociable, Well-mannered",400,,3,,,,
Miniature_pinscher,,Toy,Companion,5,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",500,37,3,,,,71
Mountain_cur,,Working,Scenthound,20,"Intelligent, Protective",400,,6,,,,
Mountain_dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",900,22,5,,,,25
Munsterlander,,Sporting,Gun,20,"Intelligent, Trainable, Attentive, Mischevious",1500,,3,,,,
Neapolitan_mastiff,,Working,Guardian,60,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",1750,,6,,1,,107
New_guinea_singing_dog,,Southern,Southern,11,"Active, Affectionate, Alert, Gentle, Lively",3000,,3,,,,
Newfoundland,Newfoundland,Working,Guardian,65,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",1750,34,5,,,,36
Norfolk_terrier,,Terrier,Terrier,5,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",2250,56,3,,,,128
Norwegian_buhund,,Herding,Northern,16,"Agile, Courageous, Energetic, Friendly, Fun-loving",900,,4,,,,170
Norwegian_elkhound,,Hound,Northern,26,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",600,36,6,,,,91
Norwegian_lundehund,,Non Sporting,Northern,8,"Alert, Energetic, Loyal, Protective",500,,4,,,,190
Norwich_terrier,,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700,38,3,,,,105
Nova_scotia_duck-tolling_retriever,,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900,,5,,,,89
Old_english_sheepdog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,63,4,,,,70
Otterhound,,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",550,46,2,,,,186
Papillon,,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500,8,3,,,,53
Patterdale_terrier,,Terrier,Terrier,6,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",600,,3,,,,
Pekingese,,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700,73,3,,,,88
Peruvian_inca_orchid,,Hound,Sight,10,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",500,,4,,,,
Petit_basset_griffon_vendeen,,Hound,Scenthound,16,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400,62,3,,,,160
Pharaoh_hound,,Hound,Sight,23,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900,37,2,,,,174
Pit_bull_terrier,,Terrier,Terrier,23,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn",600,,3,,1,,
Plott,,Hound,Scenthound,26,"Alert, Bold, Courageous, Loyal",400,,3,,,,166
Podengo_portugueso,,Hound,Sight,5,"Active, Companionable, Friendly, Hardy, Lively, Loyal",900,,3,,,,159
Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,43,4,,,,113
Polish_lowland_sheepdog,,Herding,Herding,19,"Agile, Even-tempered, Lively, Perceptive, Self-confident",1750,,6,,,,176
Pomeranian,,Toy,Companion,2,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700,23,3,,,4,22
Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,1,7
Standard_poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,7
Miniature_poodle,,Toy,Companion,8,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,
Toy_poodle,,Toy,Companion,4,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,
Portuguese_water_dog,,Working,Gun,22,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650,,4,,,,54
Presa_canario,,Working,Guardian,40,"Calm, Dominant, Gentle, Strong-willed, Suspicious",2100,,6,1,,,
Pug,,Toy,Companion,8,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",400,57,3,,,,31
Puli,,Herding,Herding,14,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",1100,27,5,,,,142
Pumi,,Herding,Herding,13,"Active, Intelligent, Lively, Protective, Reserved, Vocal",2750,,3,,,,162
Rat_terrier,,Terrier,Terrier,11,"Affectioante, Alert, Inquisitive, Lively, Loving",400,,3,,,,97
Redbone_coonhound,Redbone,Hound,Scenthound,28,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",700,,1,,,,139
Retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,4,3,,,,3
Rhodesian_ridgeback,,Hound,Sight,39,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed",1150,52,3,,,,41
Rottweiler,,Working,Guardian,51,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",1600,9,6,1,,7,8
Saint_bernard,,Working,Guardian,66,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",1650,65,3,,,,48
Saluki,,Hound,Sight,21,"Aloof, Intelligent, Quiet, Reserverd, Loyal",700,43,3,,,,123
Samoyed,,Working,Northern,26,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",1350,33,4,,,,57
Sarplaninac,,Working,Guardian,33,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",900,,5,,,,
Schipperke,,Non Sporting,Companion,7,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",800,15,3,,,,110
Miniature_schnauzer,,Terrier,Companion,8,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",800,,,,,,18
Schnauzer,Standard Schnauzer,Working,Herding,17,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1350,18,4,,,3,90
Giant_schnauzer,,Working,Herding,31,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1250,,,,,,80
Scottish_deerhound,,Hound,Sight,42,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",1100,47,1,,,,168
Scottish_terrier_scottie,Scotch Terrier,Terrier,Terrier,9,"Independent, Fiesty, Alert, Playful, Quick, Self-assured",900,65,3,,,,58
Sealyham_terrier,,Terrier,Terrier,9,"Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent",900,56,3,,,,150
Setter,,Sporting,Gun,30,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500,37,3,,,,95
Chinese_shar-pei,,Non Sporting,Northern,22,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",1100,51,3,,,,64
Sheep_dog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,63,4,,,,70
Shepherd,,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,3,6,,,,2
Shetland_sheepdog_sheltie,Shetland Sheepdog,Herding,Herding,9,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",900,6,4,,,,24
Shiba_inu,,Non Sporting,Companion,10,"Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing",900,,4,,,,45
Shih_tzu,,Toy,Companion,6,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",1000,70,3,,,2,20
Siberian_husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",950,45,1,,,5,12
Silky_terrier,,Toy,Terrier,5,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",700,37,3,,,,106
